Id,Prediction
0,4453532.6
1,4453532.6
2,4453532.6
3,4453532.6
4,4453532.6
5,4453532.6
6,4453532.6
7,4453532.6
8,4453532.6
9,4453532.6
10,4453532.6
11,4453532.6
12,4453532.6
13,4453532.6
14,4453532.6
15,4453532.6
16,4453532.6
17,4453532.6
18,4453532.6
19,4453532.6
20,4453532.6
21,4453532.6
22,4453532.6
23,4453532.6
24,4453532.6
25,4453532.6
26,4453532.6
27,4453532.6
28,4453532.6
29,4453532.6
30,4453532.6
31,4453532.6
32,4453532.6
33,4453532.6
34,4453532.6
35,4453532.6
36,4453532.6
37,4453532.6
38,4453532.6
39,4453532.6
40,4453532.6
41,4453532.6
42,4453532.6
43,4453532.6
44,4453532.6
45,4453532.6
46,4453532.6
47,4453532.6
48,4453532.6
49,4453532.6
50,4453532.6
51,4453532.6
52,4453532.6
53,4453532.6
54,4453532.6
55,4453532.6
56,4453532.6
57,4453532.6
58,4453532.6
59,4453532.6
60,4453532.6
61,4453532.6
62,4453532.6
63,4453532.6
64,4453532.6
65,4453532.6
66,4453532.6
67,4453532.6
68,4453532.6
69,4453532.6
70,4453532.6
71,4453532.6
72,4453532.6
73,4453532.6
74,4453532.6
75,4453532.6
76,4453532.6
77,4453532.6
78,4453532.6
79,4453532.6
80,4453532.6
81,4453532.6
82,4453532.6
83,4453532.6
84,4453532.6
85,4453532.6
86,4453532.6
87,4453532.6
88,4453532.6
89,4453532.6
90,4453532.6
91,4453532.6
92,4453532.6
93,4453532.6
94,4453532.6
95,4453532.6
96,4453532.6
97,4453532.6
98,4453532.6
99,4453532.6
100,4453532.6
101,4453532.6
102,4453532.6
103,4453532.6
104,4453532.6
105,4453532.6
106,4453532.6
107,4453532.6
108,4453532.6
109,4453532.6
110,4453532.6
111,4453532.6
112,4453532.6
113,4453532.6
114,4453532.6
115,4453532.6
116,4453532.6
117,4453532.6
118,4453532.6
119,4453532.6
120,4453532.6
121,4453532.6
122,4453532.6
123,4453532.6
124,4453532.6
125,4453532.6
126,4453532.6
127,4453532.6
128,4453532.6
129,4453532.6
130,4453532.6
131,4453532.6
132,4453532.6
133,4453532.6
134,4453532.6
135,4453532.6
136,4453532.6

